trial,subID,sim_choice,sim_attack,k
1,65,"[3, 3, 5, 5, 4, 4, 2, 1, 7, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,66,"[7, 6, 8, 7, 7, 5, 6, 7, 8, 8]","[0, 0, 1, 1, 1, 1, 0, 0, 1, 1]",1
1,67,"[5, 6, 7, 6, 5, 6, 5, 5, 5, 5]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",1
1,68,"[1, 1, 2, 3, 1, 3, 2, 4, 3, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,69,"[2, 3, 1, 4, 4, 4, 5, 4, 2, 3]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1
1,70,"[3, 2, 3, 4, 3, 3, 4, 4, 1, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,71,"[1, 3, 4, 5, 1, 4, 2, 1, 4, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,72,"[6, 7, 7, 5, 5, 4, 7, 5, 5, 7]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",1
1,73,"[5, 2, 3, 4, 4, 5, 3, 3, 2, 2]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,74,"[4, 6, 4, 5, 6, 6, 4, 3, 3, 6]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,75,"[6, 6, 2, 5, 7, 7, 6, 5, 6, 7]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,76,"[6, 8, 7, 9, 8, 7, 7, 8, 6, 6]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",1
1,77,"[8, 7, 7, 7, 7, 8, 7, 7, 8, 5]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",1
1,78,"[4, 5, 7, 6, 5, 5, 4, 5, 1, 7]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1
1,79,"[7, 4, 4, 6, 5, 4, 3, 3, 4, 5]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",1
1,80,"[6, 6, 5, 7, 6, 5, 6, 5, 5, 7]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,81,"[4, 6, 5, 6, 7, 5, 9, 7, 6, 7]","[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",1
1,82,"[3, 5, 3, 7, 4, 5, 5, 6, 5, 6]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]",1
