,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
13748,TRUE,2.5999999046325684,7,4,0.1624999940395355,0,-10,52,1.4872000217437744,411,52,154
13749,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,53,3.223099708557129,427,53,154
13750,TRUE,4.800000190734863,7,3,0.1920000165700912,1,-10,54,2.170799732208252,417,54,154
13751,FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,55,1.8037000894546509,426,55,154
13752,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,56,1.403700351715088,442,56,154
13753,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,57,1.238700032234192,458,57,154
13754,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,58,1.2039998769760132,474,58,154
13755,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,59,1.1855002641677856,490,59,154
13756,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,6,3.4729983806610107,80,6,154
13757,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,60,3.471698284,506,60,154
13758,TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,61,2.9047999382019043,496,61,154
13759,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,62,2.621600151062012,521,62,154
13760,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,63,2.3042993545532227,537,63,154
13761,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,64,2.1227002143859863,527,64,154
13762,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,65,1.6710002422332764,517,65,154
13763,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,66,1.9042000770568848,542,66,154
13764,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,67,1.5040004253387451,567,67,154
13765,TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,68,1.7375999689102173,557,68,154
13766,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,69,1.404200315475464,573,69,154
13767,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,7,3.3551993370056152,70,7,154
13768,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,70,1.4376004934310913,589,70,154
13769,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,71,1.5385998487472534,605,71,154
13770,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,72,1.222099781036377,621,72,154
13771,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,73,1.1046000719070437,637,73,154
13772,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,74,1.637699842453003,662,74,154
13773,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,75,1.804800271987915,678,75,154
13774,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,76,1.4875998497009275,694,76,154
13775,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,77,1.821400761604309,710,77,154
13776,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,78,1.2705999612808228,726,78,154
13777,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,79,1.1876999139785769,742,79,154
