,block,trial,room,subID,attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,step_rt,predatorType,player_partner_diff,finalStep,playerID,confidence,partnerBlame,abs_pred_error,predator,outcome,abs_player_pred_diff,log_step_rt,partner_changed,partner_changed_rel,player_change,future_step_rt,player_change_rel
18,2,5,1,0,True,0.75,-20,4,5,5,1.852200508117676,0,1,5,0,70,0.25,1,safe,captured,0,0.6163743960859646,0.0,0.0,0.0,2.719999551773072,-0.0
19,2,5,1,1,True,0.25,-20,5,4,4,4.649897575378418,0,-1,5,1,70,0.75,1,safe,captured,0,1.5368451925563311,0.0,-0.0,0.0,2.066499948501587,0.0
22,2,6,1,0,False,0.75,50,4,5,4,2.719999551773072,0,1,5,0,70,0.5,0,safe,harvest,1,1.0006317155185807,0.0,0.0,0.0,2.6350998878479004,-0.0
23,2,6,1,1,False,0.5,50,5,4,4,2.066499948501587,0,-1,5,1,70,0.75,1,safe,harvest,0,0.725856330049053,0.0,-0.0,0.0,1.6999995708465576,0.0
26,2,7,1,0,False,0.75,50,4,5,4,2.6350998878479004,0,1,5,0,70,0.5,0,safe,harvest,1,0.9689210893765017,0.0,0.0,0.0,1.8183997869491573,-0.0
27,2,7,1,1,False,0.5,50,5,4,5,1.6999995708465576,0,-1,5,1,70,0.75,0,safe,harvest,1,0.5306279986189372,0.0,-0.0,0.0,2.1334004402160645,0.0
30,2,8,1,0,False,0.75,50,4,5,4,1.8183997869491573,0,1,5,0,70,0.5,0,safe,harvest,1,0.5979568763922857,0.0,0.0,0.0,1.8681000471115112,-0.0
31,2,8,1,1,False,0.5,50,5,4,5,2.1334004402160645,0,-1,5,1,70,0.75,0,safe,harvest,1,0.757717157554056,0.0,-0.0,0.0,1.8830997943878167,0.0
34,2,9,1,0,True,0.75,-20,4,5,4,1.8681000471115112,0,1,5,0,70,0.5,0,safe,captured,1,0.6249218967833237,0.0,0.0,0.0,3.103000402450561,-0.0
35,2,9,1,1,True,0.5,-20,5,4,5,1.8830997943878167,0,-1,5,1,70,0.75,0,safe,captured,1,0.6329192458213144,0.0,-0.0,1.0,2.0839996337890625,1.0
38,2,10,1,0,False,0.5,50,5,5,4,3.103000402450561,0,0,5,0,70,0.5,1,safe,harvest,1,1.132369515163483,1.0,1.0,0.0,2.284999370574951,-0.0
39,2,10,1,1,False,0.5,50,5,5,5,2.0839996337890625,0,0,5,1,70,0.5,0,safe,harvest,0,0.734288948166087,0.0,-0.0,-1.0,1.5834002494812012,0.0
42,2,11,1,0,False,0.75,50,4,5,5,2.284999370574951,0,1,5,0,70,0.5,1,safe,harvest,0,0.8263657488865901,-1.0,-0.0,0.0,1.6680995225906372,-0.0
43,2,11,1,1,False,0.5,50,5,4,5,1.5834002494812012,0,-1,5,1,70,0.75,0,safe,harvest,1,0.4595745913156242,0.0,0.0,0.0,1.8673001527786253,0.0
46,2,12,1,0,False,0.75,50,4,5,4,1.6680995225906372,0,1,5,0,70,0.5,0,safe,harvest,1,0.5116849679783456,0.0,0.0,0.0,1.4326996803283691,-0.0
47,2,12,1,1,False,0.5,50,5,4,4,1.8673001527786253,0,-1,5,1,70,0.75,1,safe,harvest,0,0.6244936190608263,0.0,-0.0,0.0,1.7158998250961304,0.0
50,2,13,1,0,False,0.75,50,4,5,4,1.4326996803283691,0,1,5,0,70,0.5,0,safe,harvest,1,0.35956055279185517,0.0,0.0,0.0,1.367900252342224,-0.0
51,2,13,1,1,False,0.5,50,5,4,4,1.7158998250961304,0,-1,5,1,70,0.75,1,safe,harvest,0,0.5399376223781611,0.0,-0.0,0.0,1.3674001693725586,0.0
54,2,14,1,0,False,0.75,50,4,5,4,1.367900252342224,0,1,5,0,70,0.25,0,safe,harvest,1,0.3132769015874195,0.0,0.0,0.0,1.7508001327514648,-0.0
55,2,14,1,1,False,0.25,50,5,4,5,1.3674001693725586,0,-1,5,1,70,0.75,0,safe,harvest,1,0.31291125036222533,0.0,-0.0,-1.0,4.5833001136779785,-1.0
58,2,15,1,0,False,0.5,32,3,5,5,1.7508001327514648,0,2,4,0,70,0.5,2,safe,harvest,0,0.5600729021579182,-1.0,-1.0,0.0,2.485900640487671,-0.0
59,2,15,1,1,False,0.5,32,5,3,4,4.5833001136779785,0,-2,4,1,70,0.5,1,safe,harvest,1,1.5224192874933995,0.0,-0.0,2.0,1.516499400138855,2.0
62,2,16,1,0,False,0.5,50,5,5,3,2.485900640487671,0,0,5,0,70,0.75,2,safe,harvest,2,0.9106350246661686,2.0,2.0,0.0,1.8680999279022217,-0.0
63,2,16,1,1,False,0.75,50,5,5,5,1.516499400138855,0,0,5,1,70,0.5,0,safe,harvest,0,0.4164046525901099,0.0,-0.0,-1.0,2.566800594329834,0.0
66,2,17,1,0,False,0.75,50,4,5,4,1.8680999279022217,0,1,5,0,70,0.5,0,safe,harvest,1,0.6249218329702032,-1.0,-0.0,0.0,2.802500009536743,-0.0
67,2,17,1,1,False,0.5,50,5,4,4,2.566800594329834,0,-1,5,1,70,0.75,1,safe,harvest,0,0.9426602184392463,0.0,0.0,0.0,1.3657002449035645,0.0
70,2,18,1,0,True,0.75,-20,4,5,5,2.802500009536743,0,1,5,0,70,0.25,1,safe,captured,0,1.0305118793671193,0.0,0.0,0.0,1.3835999965667725,-0.0
71,2,18,1,1,True,0.25,-20,5,4,4,1.3657002449035645,0,-1,5,1,70,0.75,1,safe,captured,0,0.31166729702679513,0.0,-0.0,0.0,2.432799816131592,0.0
74,2,19,1,0,False,0.75,50,4,5,4,1.3835999965667725,0,1,5,0,70,0.5,0,safe,harvest,1,0.3246887955995037,0.0,0.0,0.0,1.584399938583374,-0.0
75,2,19,1,1,False,0.5,50,5,4,4,2.432799816131592,0,-1,5,1,70,0.75,1,safe,harvest,0,0.8890427818020902,0.0,-0.0,0.0,1.5498000383377075,0.0
