attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,103,3.302698373794556,678,103,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,104,2.5203001499176025,687,104,27
FALSE,4.800000190734863,7,2,0,1,4,105,3.6689975261688232,691,105,27
FALSE,4.800000190734863,7,2,0,1,4,106,2.336700201034546,695,106,27
FALSE,4.800000190734863,7,2,0,1,4,107,4.5358991622924805,699,107,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,108,3.0690994262695312,748,108,27
FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,109,2.085900307,764,109,27
TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,11,2.304500102996826,163,11,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,110,3.286299228668213,800,110,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,111,2.520599842071533,836,111,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,112,3.2858996391296387,861,112,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,113,3.902998685836792,897,113,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,114,2.652799606323242,922,114,27
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,115,2.587000131607056,912,115,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,116,5.002996921539307,961,116,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,117,2.237200736999512,970,117,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,118,2.869100332260132,979,118,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,119,7.086296558380127,1015,119,27
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,12,4.103798389434815,188,12,27
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,120,8.653490067,1005,120,27
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,13,3.4028987884521484,178,13,27
FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,14,2.0527002811431885,214,14,27
TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,15,3.919101715,204,15,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,16,2.1205999851226807,253,16,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,17,2.935999631881714,278,17,27
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,18,3.0186002254486084,268,18,27
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,19,3.2368996143341064,258,19,27
TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,2,3.8020992279052734,-20,2,27
TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,20,3.036198854446411,248,20,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,21,2.0032002925872803,297,21,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,22,3.61979866,346,22,27
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,23,1.920100212097168,336,23,27
TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,24,6.953795433044434,326,24,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,25,2.903799057006836,375,25,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,26,3.4852993488311768,411,26,27
FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,27,6.587299823760986,460,27,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,28,1.5529999732971191,469,28,27
TRUE,4.800000190734863,7,4,0.3000000119209289,1,-10,29,1.836300015449524,459,29,27
FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,3,1.953699946403504,5,3,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,30,1.737199783325195,468,30,27
TRUE,4.800000190734863,7,3,0.1920000165700912,1,-10,31,1.5539002418518066,458,31,27
FALSE,4.800000190734863,7,1,0,1,1,32,2.250200033187866,459,32,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,33,2.369899272918701,495,33,27
TRUE,2.5999999046325684,7,4,0.1624999940395355,0,-10,34,4.952795505523682,485,34,27
TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,35,3.136099100112915,475,35,27
FALSE,4.800000190734863,7,1,0,1,1,36,2.3695003986358643,476,36,27
FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,37,3.3200979232788086,540,37,27
FALSE,4.800000190734863,7,1,0,1,1,38,1.537000060081482,541,38,27
FALSE,4.800000190734863,7,3,0.1920000165700912,1,9,39,1.3196998834609983,550,39,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,4,2.469799757003784,30,4,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,40,2.419400215148926,575,40,27
FALSE,4.800000190734863,7,2,0,1,4,41,1.7202003002166748,579,41,27
TRUE,4.800000190734863,7,3,0.1920000165700912,1,-10,42,4.11979866,569,42,27
FALSE,4.800000190734863,7,2,0,1,4,43,1.969900131225586,573,43,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,44,2.003199577331543,598,44,27
FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,45,2.8863987922668457,614,45,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,46,3.752698421478272,650,46,27
FALSE,4.800000190734863,7,1,0,1,1,47,1.3197002410888672,651,47,27
TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,48,5.287297726,641,48,27
FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,49,3.3196983337402344,677,49,27
FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,5,4.019298553466797,55,5,27
TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,50,2.418999671936035,667,50,27
