attack,selfBlame,jointMoney,partnerStep,playerStep,predatorAttack,prediction,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,payoff,subID
FALSE,0.25,72,6,5,0,5,2.8696000576019287,27,2,2,0,80,1,6,-1,36,2
FALSE,0.75,72,5,6,0,4,2.6085000038146973,27,2,2,1,70,1,6,1,54,3
TRUE,0.5,-20,9,6,0,6,1.7351959943771362,28,2,1,0,80,0,8,-3,-10,2
TRUE,0.5,-20,6,9,0,6,3.782999038696289,28,2,1,1,70,0,8,3,-10,3
TRUE,0.5,-20,6,4,0,6,0.9344998002052308,28,2,2,0,80,1,5,-2,-10,2
TRUE,0.75,-20,4,6,0,5,3.907898426055908,28,2,2,1,70,1,5,2,-10,3
TRUE,0.75,-20,6,9,0,9,2.4565978050231934,29,2,1,0,80,0,8,3,-10,2
TRUE,0,-20,9,6,0,5,2.649698257446289,29,2,1,1,70,0,8,-3,0,3
TRUE,0.5,-20,3,4,0,4,1.242898703,29,2,2,0,80,1,4,1,-10,2
TRUE,0.25,-20,4,3,0,3,0.9912002682685852,29,2,2,1,70,1,4,-1,-5,3
TRUE,0.5,-20,9,4,0,4,1.347198247909546,30,2,1,0,80,0,7,-5,-10,2
TRUE,0.75,-20,4,9,0,8,5.133003234863281,30,2,1,1,70,0,7,5,-10,3
FALSE,0.5,18,3,3,0,3,0.6966001391410828,30,2,2,0,80,1,3,0,9,2
FALSE,0.5,18,3,3,0,3,1.5668998956680298,30,2,2,1,70,1,3,0,9,3
TRUE,0.25,-20,3,2,0,3,2.4504005908966064,1,3,1,0,70,1,3,-1,-5,4
TRUE,0.5,-20,2,3,0,2,4.370299816131592,1,3,1,1,60,1,3,1,-10,5
FALSE,0.5,98,9,4,0,6,1.1831005811691284,1,3,2,0,70,0,7,-5,49,4
FALSE,1,98,4,9,0,5,1.8504999876022337,1,3,2,1,60,0,7,5,98,5
FALSE,0.25,32,5,2,0,2,1.2997006177902222,2,3,1,0,70,1,4,-3,32,4
FALSE,0.75,32,2,5,0,3,4.304100513458252,2,3,1,1,60,1,4,3,16,5
FALSE,0.5,32,2,6,0,9,1.7835010290145874,2,3,2,0,70,0,4,4,16,4
FALSE,0.5,32,6,2,0,-1,8,2,3,2,1,60,0,4,-4,16,5
TRUE,0.5,-20,5,2,0,3,1.599700927734375,3,3,1,0,70,1,4,-3,-10,4
TRUE,0.75,-20,2,5,0,4,3.301400184631348,3,3,1,1,60,1,4,3,-10,5
TRUE,0.5,-20,8,7,0,8,1.4835004806518557,3,3,2,0,70,0,8,-1,-10,4
TRUE,0.25,-20,7,8,0,7,1.784400463104248,3,3,2,1,60,0,8,1,-20,5
FALSE,0.25,50,6,3,0,4,1.3004004955291748,4,3,1,0,70,1,5,-3,25,4
FALSE,0.75,50,3,6,0,-1,6.487399578094482,4,3,1,1,60,1,5,3,0,5
TRUE,0.5,-20,9,5,0,5,1.0835002660751345,4,3,2,0,70,0,7,-4,-10,4
TRUE,0.5,-20,5,9,0,5,3.76639986,4,3,2,1,60,0,7,4,-15,5
FALSE,0.5,18,3,3,0,4,1.4501007795333862,5,3,1,0,70,1,3,0,9,4
FALSE,0.5,18,3,3,0,4,2.6339988708496094,5,3,1,1,60,1,3,0,9,5
TRUE,0.5,-20,9,4,0,8,1.316200852394104,5,3,2,0,70,0,7,-5,-10,4
TRUE,0.75,-20,4,9,0,5,3.4671993255615234,5,3,2,1,60,0,7,5,-15,5
FALSE,0.5,50,7,3,0,5,1.6167007684707642,6,3,1,0,70,1,5,-4,25,4
FALSE,-1,50,3,7,0,5,3.1991002559661865,6,3,1,1,60,1,5,4,25,5
FALSE,1,50,8,1,0,9,0.9998003244400024,6,3,2,0,70,0,5,-7,25,4
FALSE,1,50,1,8,0,6,1.4689000844955444,6,3,2,1,60,0,5,7,50,5
FALSE,0.25,32,4,3,0,4,1.3497005701065063,7,3,1,0,70,1,4,-1,16,4
FALSE,0.5,32,3,4,0,-1,7.921299457550049,7,3,1,1,60,1,4,1,16,5
TRUE,0.5,-20,9,5,0,5,1.200000286102295,7,3,2,0,70,0,7,-4,-10,4
TRUE,0.5,-20,5,9,0,6,1.8875001668930047,7,3,2,1,60,0,7,4,-20,5
TRUE,0.75,-20,7,3,0,5,1.350400686264038,8,3,1,0,70,1,5,-4,-10,4
TRUE,0.25,-20,3,7,0,5,2.4504997730255127,8,3,1,1,60,1,5,4,-5,5
FALSE,0.5,162,9,9,0,9,3.583198547363281,8,3,2,0,70,0,9,0,81,4
FALSE,0.5,162,9,9,0,3,2.066999673843384,8,3,2,1,60,0,9,0,81,5
FALSE,0.5,72,8,4,0,5,1.8667014837265008,9,3,1,0,70,1,6,-4,36,4
FALSE,1,72,4,8,0,5,2.7320995330810547,9,3,1,1,60,1,6,4,0,5
TRUE,0.5,-20,9,9,0,9,3.0162994861602783,9,3,2,0,70,0,9,0,-10,4
TRUE,0,-20,9,9,0,5,1.6498000621795654,9,3,2,1,60,0,9,0,-20,5
FALSE,0.5,32,4,4,0,6,1.7663010358810425,10,3,1,0,70,1,4,0,16,4
FALSE,0.5,32,4,4,0,-1,3.967499732971192,10,3,1,1,60,1,4,0,8,5
TRUE,0.25,-20,9,9,0,9,1.5498006343841553,10,3,2,0,70,0,9,0,-10,4
TRUE,0.75,-20,9,9,0,8,1.6175003051757812,10,3,2,1,60,0,9,0,-20,5
FALSE,0.5,50,6,4,0,5,1.883501052856445,11,3,1,0,70,1,5,-2,25,4
FALSE,0.5,50,4,6,0,3,2.516699314117432,11,3,1,1,60,1,5,2,25,5
TRUE,0.25,-20,9,9,0,9,1.8333011865615845,11,3,2,0,70,0,9,0,-10,4
TRUE,0.75,-20,9,9,0,9,2.7519004344940186,11,3,2,1,60,0,9,0,-15,5
TRUE,0.5,-20,8,5,0,6,3.766998291015625,12,3,1,0,70,1,7,-3,-10,4
