,attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,split_rt,step_rt,trial,room,block,playerID,confidence,predatorType,finalStep,player_partner_diff,subID
0,TRUE,0.75,-20,4,5,5,2.584998369216919,2.802500009536743,18,1,2,0,70,0,5,1,0
0,TRUE,0.25,-20,5,4,4,3.400099277496338,1.3657002449035645,18,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,2.085800647735596,1.301099658,19,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,1.565500259399414,1.3670001029968262,19,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,2.852499961853028,1.3835999965667725,19,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,7.300898551940918,2.432799816131592,19,1,2,1,70,0,5,-1,1
0,TRUE,0.5,-20,4,4,4,2.5356993675231934,0.9521000385284424,20,1,1,0,70,1,4,0,0
0,TRUE,0.5,-20,4,4,4,0.8342000842094421,1.3837000131607056,20,1,1,1,70,1,4,0,1
0,TRUE,0.75,-20,4,5,5,2.618499755859375,1.584399938583374,20,1,2,0,70,0,5,1,0
0,TRUE,0.75,-20,5,4,4,8,1.5498000383377075,20,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,1.984899640083313,1.3843001127243042,21,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,1.483199954032898,1.3164000511169434,21,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,3.769399642944336,1.5518999099731443,21,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,5,2.0328993797302246,1.6669999361038208,21,1,2,1,70,0,5,-1,1
0,TRUE,0.5,-20,4,4,4,2.5523996353149414,0.9005999565124512,22,1,1,0,70,1,4,0,0
0,TRUE,0.5,-20,4,4,4,0.9657999873161316,1.4510003328323364,22,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,1.2019997835159302,1.3849003314971924,22,1,2,0,70,0,5,1,0
0,FALSE,0.5,50,5,4,4,1.3667001724243164,4.516199111938477,22,1,2,1,70,0,5,-1,1
0,FALSE,0.5,32,4,4,4,2.218100309371948,1.137000560760498,23,1,1,0,70,1,4,0,0
0,FALSE,0.5,32,4,4,4,1.449900507926941,1.2324001789093018,23,1,1,1,70,1,4,0,1
0,FALSE,0.75,50,4,5,4,4.219398498535156,1.5009998083114624,23,1,2,0,70,0,5,1,0
