,attack,attackProb,attackRange,choice,currProb,predatorType,reward,round,rt,totMoney,trial,subID
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,26,2.2552998065948486,520,26,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,27,1.821699976921081,556,27,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,28,1.6883002519607544,592,28,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,29,1.7203998565673828,628,29,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,3,3.023299217224121,16,3,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,30,2.755999803543091,618,30,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,31,2.489699602127075,682,31,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,32,1.7218003273010254,672,32,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,33,2.018200159072876,662,33,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,34,1.6245001554489136,698,34,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,35,1.921700358390808,688,35,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,36,2.1222000122070312,678,36,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,37,2.0554006099700928,714,37,64
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,38,2.4554998874664307,704,38,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,39,2.1554999351501465,753,39,64
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,4,2.488899946212769,52,4,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,40,1.8874001502990725,743,40,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,41,2.4227001667022705,792,41,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,42,2.4225003719329834,828,42,64
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,43,2.188300132751465,818,43,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,44,2.1217002868652344,854,44,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,45,2.122000217437744,903,45,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,46,1.954999923706055,939,46,64
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,47,2.1882002353668213,929,47,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,48,1.6874003410339355,965,48,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,49,1.9563000202178955,1014,49,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,5,2.756500244140625,101,5,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,50,2.255300760269165,1063,50,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,51,1.6200001239776611,1053,51,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,52,2.153900384902954,1102,52,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,53,2.9880990982055664,1092,53,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,54,2.823199749,1156,54,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,55,2.8561997413635254,1220,55,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,56,1.7216001749038696,1256,56,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,57,2.355200290679932,1320,57,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,58,2.221900463104248,1384,58,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,59,1.7217005491256714,1374,59,64
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,6,2.522400140762329,91,6,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,60,1.6885004043579102,1364,60,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,61,1.754000186920166,1354,61,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,62,2.188199996948242,1418,62,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,63,3.390899896621704,1482,63,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,64,2.022200345993042,1472,64,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,65,2.723400115966797,1462,65,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,66,2.2222001552581787,1452,66,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,67,1.9223003387451167,1442,67,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,68,1.988999843597412,1432,68,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,69,2.0558998584747314,1422,69,64
0,TRUE,2.5999999046325684,7,7,0.4160000085830688,0,-10,7,3.323200225830078,81,7,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,70,1.88860023,1471,70,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,71,1.919900059700012,1520,71,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,72,3.0212996006011963,1510,72,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,73,1.854700326919556,1559,73,64
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,74,2.188999891281128,1549,74,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,75,1.5880002975463867,1539,75,64
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,76,1.5546002388000488,1564,76,64
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,77,1.589800238609314,1554,77,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,78,1.5541001558303833,1544,78,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,79,1.8220999240875244,1593,79,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,8,1.9229001998901367,117,8,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,80,1.7552002668380735,1642,80,64
0,FALSE,2.5999999046325684,7,8,0.5264999270439148,0,64,81,2.889498710632324,1706,81,64
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,82,2.123300075531006,1755,82,64
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,83,2.122300386428833,1791,83,64
0,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,84,1.3879001140594482,1807,84,64
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,85,1.5548001527786257,1832,85,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,86,1.7551002502441406,1822,86,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,87,2.2526001930236816,1812,87,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,88,1.5896998643875122,1802,88,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,89,1.7211005687713623,1792,89,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,9,2.022300243377685,153,9,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,90,1.3545000553131104,1828,90,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,91,1.888700008392334,1818,91,64
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,92,1.5218000411987305,1854,92,64
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,93,1.5558000802993774,1844,93,64
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,94,1.5216000080108645,1869,94,64
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,95,2.1222002506256104,1859,95,64
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,96,1.4878000020980835,1895,96,64
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,97,1.5552000999450684,1885,97,64
0,TRUE,4.800000190734863,7,8,0.9719999432563782,1,-10,98,1.7544004917144775,1875,98,64
0,FALSE,2.5999999046325684,7,9,0.6499999761581421,0,81,99,2.2876999378204346,1956,99,64
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,1,5.603498935699463,25,1,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,10,2.136600971221924,237,10,75
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,100,2.036200046539306,1553,100,75
0,FALSE,2.5999999046325684,7,9,0.6499999761581421,0,81,101,1.9858003854751587,1634,101,75
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,102,1.6513006687164309,1659,102,75
0,FALSE,2.5999999046325684,7,4,0.1624999940395355,0,16,103,2.5032002925872803,1675,103,75
0,TRUE,4.800000190734863,7,8,0.9719999432563782,1,-10,104,2.086500883102417,1665,104,75
0,TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,105,2.620000601,1655,105,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,106,2.4208996295928955,1645,106,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,107,1.536900520324707,1670,107,75
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,108,1.7360005378723145,1719,108,75
0,FALSE,4.800000190734863,7,5,0.4320000410079956,1,25,109,1.7205007076263428,1744,109,75
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,11,1.836700439453125,227,11,75
0,TRUE,2.5999999046325684,7,9,0.6499999761581421,0,-10,110,2.051800012588501,1734,110,75
0,TRUE,4.800000190734863,7,8,0.9719999432563782,1,-10,111,1.7697010040283203,1724,111,75
0,FALSE,2.5999999046325684,7,5,0.2339999973773956,0,25,112,1.5365008115768433,1749,112,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,113,1.9523016214370728,1739,113,75
0,TRUE,2.5999999046325684,7,8,0.5264999270439148,0,-10,114,2.219700574874878,1729,114,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,115,1.503500223,1719,115,75
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,116,1.6364002227783203,1709,116,75
0,TRUE,4.800000190734863,7,6,0.5879999995231628,1,-10,117,2.420200348,1699,117,75
0,TRUE,4.800000190734863,7,5,0.4320000410079956,1,-10,118,1.6197006702423096,1689,118,75
0,TRUE,2.5999999046325684,7,5,0.2339999973773956,0,-10,119,3.4354989528656006,1679,119,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,12,1.938701033592224,263,12,75
0,FALSE,4.800000190734863,7,4,0.3000000119209289,1,16,120,2.037501096725464,1695,120,75
0,TRUE,4.800000190734863,7,7,0.768000066,1,-10,13,1.9698007106781008,253,13,75
0,FALSE,2.5999999046325684,7,7,0.4160000085830688,0,49,14,1.668300747871399,302,14,75
0,FALSE,2.5999999046325684,7,6,0.3184999823570251,0,36,15,1.497100830078125,338,15,75
0,FALSE,4.800000190734863,7,6,0.5879999995231628,1,36,16,1.4701006412506104,374,16,75
0,TRUE,4.800000190734863,7,8,0.9719999432563782,1,-10,17,1.9522008895874023,364,17,75
0,TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,18,1.7377004623413086,354,18,75
0,TRUE,2.5999999046325684,7,6,0.3184999823570251,0,-10,19,1.803000807762146,344,19,75
