attack,selfBlame,jointMoney,partnerStep,playerStep,prediction,share,split_rt,step_rt,trial,room,block,playerID,predatorType,player_partner_diff,finalStep,subID
TRUE,0.5,72,7,4,4,0,1.050700068473816,1.0998997688293457,7,1,2,0,0,-3,6,61
FALSE,0.5,50,4,6,3,0,0.7320000529289246,1.265999674797058,8,1,2,1,0,2,5,16
FALSE,0.25,50,6,4,4,0,3.1163995265960693,1.1308999061584473,8,1,2,0,0,-2,5,61
TRUE,0.75,50,4,6,4,0,1.0829999446868896,1.6489999294281006,9,1,2,1,0,2,5,16
TRUE,0.5,50,6,4,4,0,6.917093753814697,1.033600091934204,9,1,2,0,0,-2,5,61
FALSE,0.5,50,4,5,3,0,1.432999610900879,1.3669995069503784,10,1,2,1,0,1,5,16
FALSE,0.25,50,5,4,4,0,0.8161998987197876,1.1499000787734983,10,1,2,0,0,-1,5,61
TRUE,0.5,50,4,5,4,0,8,1.2160000801086426,11,1,2,1,0,1,5,16
TRUE,0.5,50,5,4,4,0,1.216499924659729,1.1994998455047607,11,1,2,0,0,-1,5,61
FALSE,0.5,50,4,5,4,0,1.3159996271133425,1.6149996519088743,12,1,2,1,0,1,5,16
FALSE,0.25,50,5,4,4,0,1.8155999183654783,1.049300193786621,12,1,2,0,0,-1,5,61
FALSE,0.75,50,4,5,4,0,2.0669987201690674,1.1329998970031738,13,1,2,1,0,1,5,16
FALSE,0.25,50,5,4,4,0,2.4493987560272217,1.000400185585022,13,1,2,0,0,-1,5,61
TRUE,0.5,50,4,5,4,0,1.7989994287490845,1.832999587059021,14,1,2,1,0,1,5,16
TRUE,0.5,50,5,4,4,0,1.400299906730652,0.9823999404907228,14,1,2,0,0,-1,5,61
FALSE,0.5,50,4,6,4,0,1.3009997606277466,1.8159992694854736,15,1,2,1,0,2,5,16
FALSE,0.25,50,6,4,4,0,0.7172999382019043,1.1682002544403076,15,1,2,0,0,-2,5,61
FALSE,1,72,4,7,4,0,1.4829998016357422,2.048999547958374,16,1,2,1,0,3,6,16
FALSE,0,72,7,4,4,0,1.433099627494812,1.0011999607086182,16,1,2,0,0,-3,6,61
TRUE,0.75,50,4,6,4,0,1.8319993019104004,1.5329996347427368,17,1,2,1,0,2,5,16
TRUE,0.5,50,6,4,4,0,1.083799958229065,1.1998000144958496,17,1,2,0,0,-2,5,61
FALSE,0.75,72,4,8,3,0,1.5829997062683103,2.399998664855957,18,1,2,1,0,4,6,16
FALSE,0,72,8,4,4,0,0.73269999,1.1833000183105469,18,1,2,0,0,-4,6,61
FALSE,1,72,4,8,4,0,1.033000111579895,1.966998815536499,19,1,2,1,0,4,6,16
FALSE,0,72,8,4,4,0,2.2666995525360107,1.1338002681732178,19,1,2,0,0,-4,6,61
FALSE,0.75,72,4,8,4,0,1.5499995946884155,2.782998323440552,20,1,2,1,0,4,6,16
FALSE,0,72,8,4,4,0,1.134200096130371,1.533500075340271,20,1,2,0,0,-4,6,61
TRUE,1,72,4,8,4,0,2.165999174118042,2.115999221801758,21,1,2,1,0,4,6,16
TRUE,0.5,72,8,4,4,0,1.6495999097824097,1.165799856185913,21,1,2,0,0,-4,6,61
TRUE,0.75,98,4,9,4,0,1.7829993963241575,2.215998649597168,22,1,2,1,0,5,7,16
TRUE,0.5,98,9,4,8,0,1.6324005126953125,1.4495002031326294,22,1,2,0,0,-5,7,61
FALSE,0.75,72,4,7,4,0,1.9659990072250368,1.965999245643616,23,1,2,1,0,3,6,16
FALSE,0,72,7,4,4,0,1.0830000638961792,1.0990999937057495,23,1,2,0,0,-3,6,61
FALSE,1,72,4,7,3,0,1.8659992218017576,1.8159995079040527,24,1,2,1,0,3,6,16
FALSE,0,72,7,4,4,0,1.6002001762390137,1.183299899101257,24,1,2,0,0,-3,6,61
FALSE,0.5,72,4,7,4,0,1.0329999923706057,2.2669990062713623,25,1,2,1,0,3,6,16
FALSE,0,72,7,4,7,0,1.132599949836731,1.1828999519348145,25,1,2,0,0,-3,6,61
FALSE,0.5,72,4,7,3,0,1.3659995794296265,3.616997480392456,26,1,2,1,0,3,6,16
FALSE,0,72,7,4,8,0,0.9501999020576476,1.6493000984191897,26,1,2,0,0,-3,6,61
FALSE,0.75,72,4,8,4,0,3.1489977836608887,2.4999988079071045,27,1,2,1,0,4,6,16
FALSE,0,72,8,4,4,0,0.6827999949455261,1.2003998756408691,27,1,2,0,0,-4,6,61
FALSE,0.5,50,4,6,3,0,1.3999998569488523,1.6999993324279783,28,1,2,1,0,2,5,16
FALSE,0.25,50,6,4,8,0,2.8010001182556152,1.3826998472213743,28,1,2,0,0,-2,5,61
FALSE,0.5,72,4,8,4,0,2.2499988079071045,2.498998641967773,29,1,2,1,0,4,6,16
FALSE,0,72,8,4,4,0,1.1831002235412598,0.9495000243186952,29,1,2,0,0,-4,6,61
TRUE,0.75,72,4,8,4,0,1.5659996271133425,2.7499988079071045,30,1,2,1,0,4,6,16
TRUE,0.5,72,8,4,4,0,1.0826001167297363,1.300800085067749,30,1,2,0,0,-4,6,61
TRUE,0.25,50,1,9,-1,0,7.142099380493164,8,1,2,1,1,0,8,5,46
TRUE,0.5,32,7,1,5,0,8,3.082899570465088,1,2,1,0,0,-6,4,13
FALSE,0.5,18,2,3,-1,0,5.0139007568359375,5.140399932861328,2,2,1,1,0,1,3,46
FALSE,0.5,18,3,2,-1,0,2.799598932266236,8,2,2,1,0,0,-1,3,13
FALSE,0.5,18,3,3,4,0,5.328400135040283,4.490299701690674,3,2,1,1,0,0,3,46
FALSE,0.5,18,3,3,-1,0,4.766798019,8,3,2,1,0,0,0,3,13
FALSE,0.75,8,1,3,-1,0,5.100700378417969,4.410400391,4,2,1,1,0,2,2,46
FALSE,0.5,8,3,1,-1,0,2.616199016571045,8,4,2,1,0,0,-2,2,13
FALSE,0.75,50,7,3,4,0,6.790799617767334,4.256799697875977,5,2,1,1,0,-4,5,46
FALSE,0.5,50,3,7,-1,0,5.849199771881104,5.733397960662842,5,2,1,0,0,4,5,13
FALSE,0.25,32,4,3,-1,0,7.39139986,2.5573999881744385,6,2,1,1,0,-1,4,46
FALSE,0.5,32,3,4,6,0,4.550098419189453,8,6,2,1,0,0,1,4,13
FALSE,0.5,50,6,3,3,0,8,4.331099033355713,7,2,1,1,0,-3,5,46
FALSE,0.5,50,3,6,6,0,3.166699171066284,6.449997425079346,7,2,1,0,0,3,5,13
FALSE,0.5,50,6,3,-1,0,5.099900245666504,3.100799560546875,8,2,1,1,0,-3,5,46
FALSE,0.5,50,3,6,6,0,3.550198793411255,7.867399693,8,2,1,0,0,3,5,13
FALSE,0.25,50,6,3,5,0,4.126099586486816,4.585899829864502,9,2,1,1,0,-3,5,46
FALSE,0.5,50,3,6,7,0,3.566199303,3.633299827575684,9,2,1,0,0,3,5,13
FALSE,0.25,32,5,3,5,0,4.753299713134766,4.976599693,10,2,1,1,0,-2,4,46
FALSE,0.5,32,3,5,6,0,3.233099460601806,5.282997608184815,10,2,1,0,0,2,4,13
FALSE,0.25,50,7,3,5,0,6.780199527740479,3.3666000366210938,11,2,1,1,0,-4,5,46
FALSE,0.5,50,3,7,7,0,4.282899856567383,7.416496753692627,11,2,1,0,0,4,5,13
TRUE,0.25,32,5,3,5,0,4.127200126647949,6.299800872802734,12,2,1,1,0,-2,4,46
TRUE,0.5,32,3,5,-1,0,5.566796303,3.383499861,12,2,1,0,0,2,4,13
FALSE,0.5,18,3,3,5,0,3.394699811935425,3.032299995422364,13,2,1,1,0,0,3,46
FALSE,0.5,18,3,3,4,0,5.115999221801758,3.9667983055114746,13,2,1,0,0,0,3,13
FALSE,0.5,18,3,3,5,0,8,3.2786996364593506,14,2,1,1,0,0,3,46
FALSE,0.5,18,3,3,4,0,2.3499999046325684,4.884197235107422,14,2,1,0,0,0,3,13
FALSE,0.5,18,3,3,5,0,3.884500503540039,2.5593998432159424,15,2,1,1,0,0,3,46
FALSE,0.5,18,3,3,3,0,1.716599941253662,4.600099086761475,15,2,1,0,0,0,3,13
